,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-12-18,0.302876455537532,0.13214816357164572,0.20980517875064425,0.22255358903390593,0.3229945420183325,0.33997459124077567,0.1870903070963953,0.20116348189228805,0.3858513102053749,0.4029474384499327,0.17261375723537153,0.1397187053663174,0.21164250691269024,0.2269108686384627,0.21642864406024567,0.2121031138844376,0.12959303170523773,0.4717727044104462,0.3480214886021504,0.2512017373090611,0.22797316119561695,0.3585589195439308,0.3402377358231033,0.28670979766221294,0.19911748129933027,0.30363596013383337,0.1526710417202375
2020-12-19,0.3183171989370683,0.1379614560049761,0.24145235183007477,0.2817097333459489,0.3765458161008306,0.3120240750445948,0.16157829101236207,0.23608162167444244,0.41489246569415156,0.48213116951672025,0.20281232001286686,0.1597246168264593,0.2357780587920179,0.28256854732766823,0.2186857606577389,0.26194336940612756,0.1853196299705531,0.5077658217708487,0.36195366623874714,0.27778264604910174,0.22858785595976014,0.33599230173011674,0.3867730775350242,0.3008216341635868,0.134452726792892,0.3596259467411351,0.19847294098138912
2020-12-20,0.3073404281254226,0.12141749185879909,0.21620821597202006,0.27204904524886864,0.3683156459995183,0.3603472128773161,0.13000864285540326,0.23612750925576634,0.35879834013834017,0.397126291835472,0.23345619456424854,0.17806215886283164,0.21531708762524254,0.2915196622574176,0.22080539873709118,0.26586400347444455,0.18796288890928162,0.39857558817783534,0.42135586441947936,0.27547135485491403,0.21464771422637766,0.34775338039142323,0.387371780579565,0.3356382131169765,0.13138205321864896,0.2666975277117016,0.22154374847667202
2020-12-21,0.3545808433614225,0.07826553841648333,0.21275674842427222,0.26211536913187666,0.3686842453570423,0.3574935498786425,0.14915978964759413,0.2396142580491659,0.3800152714755404,0.3789975106397777,0.2477044998278708,0.20863273277198532,0.2189408430136633,0.3273616436587432,0.22561700498135492,0.3003303692553448,0.18256101998462063,0.39599419651728196,0.40846360797975456,0.3268368782438645,0.2144463121931544,0.37937380564650575,0.42223696702835356,0.33008874831181617,0.14153409426881336,0.25690220895274946,0.2382335928051581
2020-12-22,0.32256731781626186,0.0832617985986472,0.21630858280943094,0.24653373402883583,0.34586166944914004,0.3555493268303345,0.14188137289455255,0.2168874843044649,0.35798732831025193,0.41534466695381284,0.25031056254701073,0.21284119677651317,0.23308720044764558,0.3422096613445336,0.2630855524169508,0.29671885054544317,0.18983681802874028,0.4023947755572627,0.4097405157578816,0.32221293993541605,0.1955495573639444,0.3693108643181172,0.4156113831776482,0.33778674710343304,0.1598322843535158,0.30788661274572143,0.24613376281339444
2020-12-23,0.28319494858456723,0.08416078258780167,0.2448739998980932,0.2553153067331251,0.3293993370406833,0.3440849698439798,0.13255203518628575,0.2336587572305471,0.37145221656326466,0.35164721814641536,0.2596848087751302,0.21760690401761978,0.2459603081001195,0.3350330512530191,0.23984742362980774,0.30438068704216087,0.19679846874510282,0.3516324738817986,0.42397371785374877,0.31326801249293174,0.20805656981098156,0.39353745379691474,0.33910379319447664,0.32860885509817167,0.17675418453897482,0.2991319388698823,0.21974778760174907
2020-12-24,0.3047598414775351,0.0875786900780499,0.26260039764788645,0.26811668014913387,0.29269122618215754,0.3298136658325217,0.12831257339808502,0.22495707236077309,0.3214755460325285,0.2578307840619503,0.26788255890116125,0.22541113912163585,0.23184256474887732,0.32300998465133796,0.21806874365260104,0.29997587600583864,0.19684656030346623,0.419712638401845,0.41983228785682736,0.3275212405186733,0.2071501124017046,0.39623083208936566,0.3537155966677982,0.3004139246050214,0.12034499843472636,0.28295544865701633,0.22315696443071678
2020-12-25,0.28096824463682724,0.07088560863141685,0.30851646344202976,0.27725652854670974,0.21770602153858853,0.27704692583361945,0.1369110073352373,0.17788766955224208,0.2707282399345104,0.3035369417132771,0.24658081562501746,0.2289333446721047,0.20990363130393058,0.3092738752128803,0.1874746045062802,0.27579615900542176,0.1999222213306503,0.42685266791209836,0.39190466278371455,0.33205455420321245,0.18710607809151952,0.29958477831020613,0.3119145522661652,0.23976485406136422,0.13017252173351496,0.2900652585331401,0.19988606559164704
2020-12-26,0.24243627104936627,0.08270725746829123,0.3520955581693643,0.26341081226853336,0.17598580492171745,0.2687034566568333,0.12863748074919376,0.18425833115023682,0.3312109383431736,0.3289388760047547,0.21656535862668594,0.13533048506761916,0.21025799352897678,0.34036183038986856,0.18149161347822368,0.2041667877278753,0.2298394789715464,0.40661738245992773,0.38906936878577386,0.30273764014321725,0.16403077152169177,0.24166810694347104,0.28995784359123244,0.18810858243115972,0.14304151244229976,0.23522943132348445,0.1840466220324667
2020-12-27,0.24296613729864094,0.07294964645976716,0.36695906873785367,0.20221156640493057,0.1791654074527605,0.2217341351446494,0.1212110253277046,0.1767428350435925,0.32914855777144747,0.22758555806189013,0.1889265772329484,0.1464136437819942,0.2813909656422303,0.3079101706336107,0.19116527539577882,0.21121143822008856,0.24428188113458957,0.3949424134085855,0.3886536290445524,0.3065063782606687,0.1663135000360928,0.1912486367658802,0.23357534736374166,0.17963813907032272,0.1470601815079059,0.24688154772398802,0.1700480441248575
2020-12-28,0.2549444162043311,0.0719140651741439,0.4183934161307261,0.19575277702150895,0.1671777418921095,0.2460717166602949,0.09122264915077005,0.14724450123205932,0.334145531448913,0.20201871720234604,0.19369654899159308,0.10689981828212977,0.2893957561458677,0.30990810828163484,0.16346808357429998,0.19189736691221004,0.25363885395974456,0.4109619151496649,0.3895401268089177,0.2803190816533318,0.1343545492994433,0.18639305955922453,0.17987202190623863,0.18616725715141375,0.13122378193616802,0.23127061586954778,0.17377190165159748
2020-12-29,0.2574965151983755,0.07089757711258121,0.36727739750633565,0.1993463189937758,0.15801197866556937,0.2829036512277725,0.10048815889054738,0.15691018914354674,0.25858439385165327,0.22983018149741313,0.17900804977809354,0.11081760459581025,0.2781447548715889,0.32282174845362094,0.19579481228971224,0.18704852193911403,0.2276034624089284,0.3885160989769366,0.37104552070488594,0.27968358358792317,0.1549372130714944,0.16736515932915022,0.1883086890920309,0.1815056704659029,0.15458047482942178,0.2072060086303055,0.17801014300955662
2020-12-30,0.27973282966894625,0.07111954887617833,0.3236846005405684,0.20520489615384413,0.15983566610051222,0.30045126716813786,0.10479551246507463,0.17011859421729425,0.28328782252401297,0.21500281363966095,0.17461897888392144,0.12807753665723473,0.27978366498439206,0.3360421183218932,0.18055783503009304,0.20463416931022177,0.21249680705265164,0.4192950107178149,0.36881930257953177,0.3071990503542087,0.16115713036588428,0.1926034048376491,0.18966660743624797,0.1808267185195568,0.1505601088776878,0.21880414929957517,0.1941326424596668
2020-12-31,0.27987714395557767,0.07454520279323167,0.33198443043371306,0.17840265884805898,0.17484893012104832,0.31678884874258717,0.10142923642090951,0.15424042680529607,0.3277336906545631,0.23496264925213842,0.1770066950918163,0.1291602216441046,0.310824202966254,0.36366151087519083,0.15023176179130407,0.21845878213772973,0.20226952641918486,0.44309348041847746,0.33708755888306446,0.30787285601499037,0.17023701382314815,0.2025087112861247,0.1959730377540663,0.18323415924173111,0.16182735182193705,0.20452882815096102,0.21218649381781804
2021-01-01,0.27504469638914464,0.09449726622693078,0.36626022429166505,0.1762595344377416,0.19928765421851113,0.30611934350527115,0.0992223039401196,0.15407032211003402,0.4118564490757672,0.42443343183193144,0.1963283933458985,0.11945864858991877,0.342381822581568,0.41515385700373997,0.14958401495105964,0.16643847467718412,0.21015819466710778,0.39993194294121803,0.31446697743226465,0.2730235169893254,0.1973119713802518,0.2021205051089236,0.18792446981347602,0.1700984226924003,0.14618172442364866,0.2355680678477426,0.2612588893581931
2021-01-02,0.29424252299168796,0.11401670577896172,0.4162468976460625,0.17519354174809534,0.22714467932887467,0.288362906891165,0.08572174051565616,0.13228865710109974,0.46906977965288177,0.4887972060719362,0.22480262833686993,0.12070748602707052,0.37397218971509727,0.4441660015953719,0.15371783040405995,0.12329978603104831,0.21870128905945577,0.37433328304073643,0.30590925517259937,0.2730076545554087,0.21371091138263595,0.22622668664035178,0.1380807608220317,0.16543026707216632,0.18540377711535547,0.23577728400111442,0.3554129132723608
2021-01-03,0.2944046871988674,0.10956683657164679,0.43598936204789984,0.19809864106761643,0.2875984808923292,0.2631459050330837,0.10703029744850927,0.12784653561859094,0.41228024227935717,0.33891201107822716,0.2809415895593738,0.1023160098278786,0.3636998736376717,0.469397024084336,0.16270415981471303,0.10751443330799229,0.23245590325195006,0.37837754909121696,0.2656376965839044,0.26571490465750097,0.22352224573865775,0.24361323750794753,0.14042998954521307,0.17560077568777743,0.18138487664857914,0.2615047465994222,0.3849054739545357
2021-01-04,0.346874930995353,0.0946936966589872,0.4588849850233141,0.1878228868476235,0.32890729520382006,0.23210486414718737,0.08907872320126177,0.12802257908442827,0.42893846746407815,0.3886153669380292,0.26977049533317415,0.08426873325972774,0.3647459663629157,0.5019353460487602,0.17677109303248115,0.12312911226354602,0.22879415735780056,0.39240576832593277,0.2753825026694756,0.2742452081881593,0.25944099842101226,0.2059083656566849,0.1328726008017366,0.18923877898700173,0.2005955217193216,0.25059888411523334,0.3520942776246941
